name_states	State Code	Region	Division	HHS_region
Alaska	AK	West	Pacific	Region10
Alabama	AL	South	East South Central	Region4
Arkansas	AR	South	West South Central	Region6
Arizona	AZ	West	Mountain	Region9
California	CA	West	Pacific	Region9
Colorado	CO	West	Mountain	Region8
Connecticut	CT	Northeast	New England	Region1
District of Columbia	DC	South	South Atlantic	Region3
Delaware	DE	South	South Atlantic	Region3
Florida	FL	South	South Atlantic	Region4
Georgia	GA	South	South Atlantic	Region4
Hawaii	HI	West	Pacific	Region9
Iowa	IA	Midwest	West North Central	Region7
Idaho	ID	West	Mountain	Region10
Illinois	IL	Midwest	East North Central	Region5
Indiana	IN	Midwest	East North Central	Region5
Kansas	KS	Midwest	West North Central	Region7
Kentucky	KY	South	East South Central	Region4
Louisiana	LA	South	West South Central	Region6
Massachusetts	MA	Northeast	New England	Region1
Maryland	MD	South	South Atlantic	Region3
Maine	ME	Northeast	New England	Region1
Michigan	MI	Midwest	East North Central	Region5
Minnesota	MN	Midwest	West North Central	Region5
Missouri	MO	Midwest	West North Central	Region7
Mississippi	MS	South	East South Central	Region4
Montana	MT	West	Mountain	Region8
North Carolina	NC	South	South Atlantic	Region4
North Dakota	ND	Midwest	West North Central	Region8
Nebraska	NE	Midwest	West North Central	Region7
New Hampshire	NH	Northeast	New England	Region1
New Jersey	NJ	Northeast	Middle Atlantic	Region2
New Mexico	NM	West	Mountain	Region6
Nevada	NV	West	Mountain	Region9
New York	NY	Northeast	Middle Atlantic	Region2
Ohio	OH	Midwest	East North Central	Region5
Oklahoma	OK	South	West South Central	Region6
Oregon	OR	West	Pacific	Region10
Pennsylvania	PA	Northeast	Middle Atlantic	Region3
Rhode Island	RI	Northeast	New England	Region1
South Carolina	SC	South	South Atlantic	Region4
South Dakota	SD	Midwest	West North Central	Region8
Tennessee	TN	South	East South Central	Region4
Texas	TX	South	West South Central	Region6
Utah	UT	West	Mountain	Region8
Virginia	VA	South	South Atlantic	Region3
Vermont	VT	Northeast	New England	Region1
Washington	WA	West	Pacific	Region10
Wisconsin	WI	Midwest	East North Central	Region5
West Virginia	WV	South	South Atlantic	Region3
Wyoming	WY	West	Mountain	Region8
